HTTrack3.49-2+htsswf+htsjava launched on Sat, 12 May 2018 11:10:52 at https://www.nyerk.xyz +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar
(winhttrack -WC2%Ps2u1%s%uN0%I0p3DaK0H0%kf2A25000%f#f -F "Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98)" -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" -%l "en, *" https://www.nyerk.xyz -O1 "C:\My Web Sites\Nyerk Forum" +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

11:51:11	Error: 	"Unable to get server's address: unknown error" (-5) after 2 retries at link https://s10.postimg.org/6mklmosyx/image.jpg (from https://www.nyerk.xyz/viewtopic.php?f=6&t=322)
11:51:11	Error: 	"Unable to get server's address: unknown error" (-5) after 2 retries at link https://s1.postimg.org/486vfe99of/Untitled-2.jpg (from https://www.nyerk.xyz/viewtopic.php?f=6&t=273)
11:51:11	Error: 	"Unable to get server's address: unknown error" (-5) after 2 retries at link https://s28.postimg.org/9e1r2p0v1/Untitled-1.jpg (from https://www.nyerk.xyz/viewtopic.php?f=6&t=242)
11:51:11	Error: 	"Unable to get server's address: unknown error" (-5) after 2 retries at link porpaczy.net/Panicmode.png (from https://www.nyerk.xyz/viewtopic.php?f=6&t=143)
11:51:11	Error: 	"Unable to get server's address: unknown error" (-5) after 2 retries at link porpaczy.net/radar.png (from https://www.nyerk.xyz/viewtopic.php?f=6&t=143)
11:51:11	Error: 	"Unable to get server's address: unknown error" (-5) after 2 retries at link https://s2.postimg.org/l0znqrusp/Aion0024.jpg (from https://www.nyerk.xyz/viewtopic.php?f=6&t=209)
11:51:11	Error: 	"Unable to get server's address: unknown error" (-5) after 2 retries at link https://s2.postimg.org/6a6h7a149/Untitled-1.jpg (from https://www.nyerk.xyz/viewtopic.php?f=6&t=209)
11:51:11	Error: 	"Unable to get server's address: unknown error" (-5) after 2 retries at link https://s15.postimg.org/6zyl97upn/Untitled-1.jpg (from https://www.nyerk.xyz/viewtopic.php?f=6&t=179)
11:51:11	Error: 	"Unable to get server's address: unknown error" (-5) after 2 retries at link https://s4.postimg.org/k66pxmy31/Untitled-2.jpg (from https://www.nyerk.xyz/viewtopic.php?f=6&t=179)
11:51:11	Error: 	"Unable to get server's address: unknown error" (-5) after 2 retries at link https://s22.postimg.org/jfqkqxxc1/Untitled-1.jpg (from https://www.nyerk.xyz/viewtopic.php?f=6&t=179&p=1041)
11:51:11	Error: 	"Unable to get server's address: unknown error" (-5) after 2 retries at link https://s21.postimg.org/r9lh2y9lz/Untitled-1.jpg (from https://www.nyerk.xyz/viewtopic.php?f=6&t=189)

HTTrack Website Copier/3.49-2 mirror complete in 40 minutes 54 seconds : 9244 links scanned, 9156 files written (329256840 bytes overall) [139037400 bytes received at 56657 bytes/sec], 241520617 bytes transferred using HTTP compression in 8823 files, ratio 19%, 59.1 requests per connection
(30 errors, 58 warnings, 0 messages)
